x,y,z
0.379534,-0.439387,-0.035486
0.38475,-0.438145,-0.039722
0.389977,-0.436819,-0.043967
0.382345,-0.423916,-0.037731
0.388621,-0.416502,-0.042813
0.396381,-0.40348,-0.049086
0.403092,-0.407174,-0.054551
0.412008,-0.405835,-0.061794
0.424156,-0.403895,-0.071662
0.434852,-0.407353,-0.080365
0.453988,-0.411246,-0.095928
0.469703,-0.407237,-0.10869
0.487192,-0.411675,-0.122916
0.509589,-0.411843,-0.141121
0.531737,-0.426646,-0.15916
0.555946,-0.442839,-0.178878
0.583134,-0.456719,-0.201012
0.629719,-0.462154,-0.238889
0.626383,-0.415012,-0.236057
0.638258,-0.371394,-0.245596
0.630575,-0.329992,-0.239244
0.628595,-0.293497,-0.237541
0.627395,-0.262374,-0.236486
0.634912,-0.235462,-0.242526
0.624543,-0.209601,-0.234031
0.62926,-0.185958,-0.237805
0.632857,-0.165553,-0.240675
0.628677,-0.14679,-0.237229
0.634101,-0.130479,-0.241596
0.631955,-0.116054,-0.239815
0.630375,-0.101897,-0.238494
0.632451,-0.08841,-0.240147
0.627134,-0.077384,-0.235796
0.631746,-0.067676,-0.23952
0.631416,-0.060788,-0.239235
0.63104,-0.053914,-0.23891
0.637586,-0.047595,-0.244215
0.637894,-0.040721,-0.244448
0.622529,-0.036337,-0.231948
0.621985,-0.029594,-0.231489
0.622084,-0.026245,-0.23156
0.631479,-0.023254,-0.239189
0.631556,-0.019851,-0.239243
0.63007,-0.016407,-0.238026
0.630124,-0.013013,-0.238061
0.630167,-0.009618,-0.238087
0.630198,-0.006224,-0.238104
0.630218,-0.002829,-0.238111
0.631778,0.000567,-0.23937
0.631774,0.00397,-0.239359
0.63176,0.007373,-0.239338
0.631733,0.010777,-0.239307
0.628592,0.014107,-0.236746
0.626991,0.017447,-0.235436
0.62693,0.020823,-0.235378
0.626858,0.024199,-0.235311
0.64151,0.028251,-0.247209
0.641413,0.031709,-0.247121
0.641304,0.035166,-0.247024
0.627877,0.041176,-0.236095
0.627584,0.047936,-0.235839
0.628019,0.054764,-0.236175
0.629181,0.061684,-0.237102
0.628749,0.068458,-0.236733
0.628787,0.07871,-0.236738
0.634117,0.089773,-0.241042
0.625132,0.10211,-0.233707
0.630201,0.11335,-0.237797
